from_stop_id,to_stop_id,transfer_type,min_transfer_time
5231725,22789,2,204
3730668,22789,2,269
3754206,22793,2,36
3754206,22794,2,36
3754207,22791,2,113
3754207,22792,2,113
3754205,22794,2,36
6251828,22794,2,136
3754205,22793,2,36
3764087,22789,2,204
22789,4890620,2,250
6251828,22793,2,136
2095,22790,2,150
3730668,22790,2,269
5231725,22790,2,204
5122192,22790,2,216
2045,22790,2,150
22790,4890620,2,250
6251827,22793,2,36
6251827,22794,2,36
22794,4677737,2,32
22794,4677736,2,32
22790,4890700,2,269
3764140,22790,2,194
5252679,22792,2,23
5252679,22791,2,23
6251850,22794,2,32
6251850,22793,2,32
4471786,22793,2,32
4471786,22794,2,32
22790,4890534,2,250
3764088,22789,2,204
3764139,22789,2,216
5231724,22790,2,216
5122193,22790,2,193
22794,4284899,2,151
3730667,22790,2,269
5231724,22789,2,216
3764140,22789,2,194
22789,4890700,2,269
3764139,22790,2,216
3730667,22789,2,269
2045,22789,2,150
5122192,22789,2,216
22793,4677736,2,32
22793,4677737,2,32
2095,22789,2,150
3764087,22790,2,204
4471787,22794,2,32
4471787,22793,2,32
22793,4284899,2,151
22789,4890534,2,250
3764088,22790,2,204
5122193,22789,2,193
